timestamp,session_id,policy,workload,task_clock,context_switches,cpu_migrations,cycles,instructions,branches,branch_misses
1767219974,2025-12-31_A,cfs,yield,9973.86,1253,1,23932507806,62712011971,10560717209,619809
1767219984,2025-12-31_A,cfs,yield,9973.98,1257,0,23932825855,62770441759,10570608784,619823
1767219994,2025-12-31_A,cfs,yield,9974.10,1272,1,23933100085,62766404048,10569983380,619201
1767220004,2025-12-31_A,cfs,yield,9973.79,1244,1,23932489481,62684657378,10556220558,618682
1767220015,2025-12-31_A,cfs,yield,9974.00,1223,1,23932986477,62758856377,10568710953,620759
1767220025,2025-12-31_A,cfs,yield,9974.44,1193,1,23934165277,62756164909,10568246828,620465
1767220035,2025-12-31_A,cfs,yield,9974.02,1166,0,23933140935,62754397361,10567916629,612465
1767220045,2025-12-31_A,cfs,yield,9974.21,1163,0,23933710575,62786628912,10573380727,619910
1767220055,2025-12-31_A,cfs,yield,9973.94,1218,0,23932857819,62485281818,10522642451,615732
1767220065,2025-12-31_A,cfs,yield,9974.26,1208,0,23933666518,62503771000,10525668127,616336
1767220075,2025-12-31_A,cfs,yield,9966.76,1200,0,23915744980,62718959615,10561932424,619217
1767220085,2025-12-31_A,cfs,yield,9965.70,1191,1,23913191217,62722888863,10562647869,616333
1767220095,2025-12-31_A,cfs,yield,9965.41,1214,0,23912428725,62728312592,10563556002,615906
1767220105,2025-12-31_A,cfs,yield,9965.61,1217,0,23912911294,62717255133,10561689899,619899
1767220115,2025-12-31_A,cfs,yield,9965.69,1196,1,23913157593,62708154957,10560064641,615416
1767220125,2025-12-31_A,cfs,yield,9965.54,1232,0,23912700953,62648338710,10549993851,624010
1767220135,2025-12-31_A,cfs,yield,9965.94,1163,1,23913871913,62715457245,10561294824,618314
1767220145,2025-12-31_A,cfs,yield,9965.84,1181,0,23913585508,62634497576,10547759307,620934
1767220155,2025-12-31_A,cfs,yield,9965.70,1170,1,23913287803,62710414772,10560539711,620643
1767220165,2025-12-31_A,cfs,yield,9966.17,1167,1,23914469285,62649689023,10550310403,620951
1767220175,2025-12-31_A,cfs,yield,9966.30,1164,1,23914743231,62692744899,10557504328,619942
1767220185,2025-12-31_A,rr,yield,10020.74,1251,1,24045042268,62975217605,10605073301,726905
1767220195,2025-12-31_A,rr,yield,10019.83,1229,2,24042988449,63016659838,10612052938,727012
1767220205,2025-12-31_A,rr,yield,10018.72,1310,2,24039863538,62963506946,10603118972,756087
1767220215,2025-12-31_A,rr,yield,10019.80,1262,2,24042798395,62749053594,10567115523,724331
1767220226,2025-12-31_A,rr,yield,10019.85,1230,2,24043042730,63040721856,10616203496,728286
1767220236,2025-12-31_A,rr,yield,10019.93,1205,1,24043328932,63028535059,10614144156,721641
1767220246,2025-12-31_A,rr,yield,10019.81,1251,2,24042881058,62973481386,10604889617,721922
1767220256,2025-12-31_A,rr,yield,10019.67,1363,2,24042092382,62970967357,10604444927,731348
1767220266,2025-12-31_A,rr,yield,10019.63,1296,2,24042263357,63002028387,10609588837,727695
1767220276,2025-12-31_A,rr,yield,10019.63,1320,4,24042146942,63013766371,10611570146,729717
1767220286,2025-12-31_A,rr,yield,10019.91,1266,2,24043024290,63036961975,10615458790,717927
1767220296,2025-12-31_A,rr,yield,10020.21,1273,2,24043649563,62975593911,10605147451,731699
1767220306,2025-12-31_A,rr,yield,10019.34,1349,4,24041386937,63022798101,10613196748,734359
1767220316,2025-12-31_A,rr,yield,10020.18,1275,1,24043688187,63025714829,10613692121,735021
1767220326,2025-12-31_A,rr,yield,10019.95,1222,1,24043311176,63024622436,10613489602,723925
1767220336,2025-12-31_A,rr,yield,10019.57,1321,1,24042052363,63019218672,10612614657,738033
1767220346,2025-12-31_A,rr,yield,10019.75,1303,2,24042588739,63013199687,10611595047,731509
1767220356,2025-12-31_A,rr,yield,10019.79,1278,3,24042646232,63014290007,10611767774,724907
1767220366,2025-12-31_A,rr,yield,10019.85,1253,2,24042917398,62704926328,10559599380,730277
1767220376,2025-12-31_A,rr,yield,10019.89,1272,4,24042983118,63034889921,10615118038,726627
1767220386,2025-12-31_A,rr,yield,10020.19,1284,3,24043646132,62725906738,10563102031,726055
1767220396,2025-12-31_A,rr,yield,10020.04,1267,2,24043373403,63035746846,10615268127,726326
1767220406,2025-12-31_A,rr,yield,10020.18,1314,2,24043482383,63015269439,10611828864,735588
1767220417,2025-12-31_A,rr,yield,10019.90,1263,2,24043027359,63024543649,10613382082,725894
1767220427,2025-12-31_A,rr,yield,10019.89,1298,4,24042879098,63016560678,10612091669,728054
1767220437,2025-12-31_A,rr,yield,10020.21,1276,2,24043731733,63029164820,10614271147,729944
1767220447,2025-12-31_A,rr,yield,10020.19,1270,2,24043678516,63011631944,10611315418,728247
1767220457,2025-12-31_A,rr,yield,10019.86,1269,3,24042906167,62687425211,10556730848,725534
1767220467,2025-12-31_A,rr,yield,10019.89,1266,1,24042962541,62668365913,10553521982,728124
1767220477,2025-12-31_A,rr,yield,10020.32,1279,2,24043994805,63030248538,10614445937,720403
1767220487,2025-12-31_A,fifo,yield,10017.19,1454,3,24035573831,62952761658,10601454950,780847
1767220497,2025-12-31_A,fifo,yield,10020.08,1277,2,24043399835,63026370575,10613798676,731426
1767220507,2025-12-31_A,fifo,yield,10020.15,1289,1,24043553545,63029449198,10614319212,738498
1767220517,2025-12-31_A,fifo,yield,10020.16,1222,2,24043795682,62985155220,10606857478,725098
1767220527,2025-12-31_A,fifo,yield,10020.24,1246,2,24043869650,63033073974,10614849264,725649
1767220537,2025-12-31_A,fifo,yield,10019.99,1247,2,24043269540,62718441498,10561843925,733608
1767220547,2025-12-31_A,fifo,yield,10020.37,1231,2,24044253996,62965776461,10603477827,725162
1767220557,2025-12-31_A,fifo,yield,10020.69,1228,2,24045031759,62981599453,10606143282,732751
1767220567,2025-12-31_A,fifo,yield,10020.73,1192,1,24045243496,62999688183,10609197085,727498
1767220577,2025-12-31_A,fifo,yield,10021.74,1160,2,24047752073,63033700777,10614898559,715071
1767220587,2025-12-31_A,fifo,yield,10012.71,1674,2,24023778802,62696912602,10558354039,859845
1767220597,2025-12-31_A,fifo,yield,10019.78,1490,2,24041901825,62705930174,10559784290,746077
1767220608,2025-12-31_A,fifo,yield,10019.99,1326,2,24042991160,62694615780,10557832664,733303
1767220618,2025-12-31_A,fifo,yield,10020.55,1257,1,24044577247,63027928261,10613952690,730331
1767220628,2025-12-31_A,fifo,yield,10017.29,1941,4,24034311082,63009097234,10610941522,801098
1767220638,2025-12-31_A,fifo,yield,10020.59,1203,3,24044847832,63033356429,10614856355,726453
1767220648,2025-12-31_A,fifo,yield,10020.02,1265,4,24043286209,62905464790,10593341489,728048
1767220658,2025-12-31_A,fifo,yield,10020.30,1182,2,24044234835,63027329680,10613954023,722278
1767220668,2025-12-31_A,fifo,yield,10019.36,1572,2,24040667394,63018511894,10612509030,731106
1767220678,2025-12-31_A,fifo,yield,10021.65,1468,2,24046357380,62966494744,10603755684,743989
1767220688,2025-12-31_A,fifo,yield,10020.48,1210,2,24044620396,63017053160,10612224695,727857
1767220698,2025-12-31_A,fifo,yield,10013.78,1551,2,24026903922,62800139809,10575797536,813987
1767220708,2025-12-31_A,fifo,yield,10020.44,1294,2,24044177364,63034200050,10615127869,737413
1767220718,2025-12-31_A,fifo,yield,10020.28,1246,2,24043966385,63038856902,10615899504,733618
1767220728,2025-12-31_A,fifo,yield,10020.15,1296,2,24043493151,62976057921,10605335005,730011
1767220738,2025-12-31_A,fifo,yield,10020.15,1312,2,24043471804,62980214817,10606038779,732696
1767220748,2025-12-31_A,fifo,yield,10020.25,1280,2,24043803687,63027663147,10614012501,727724
1767220758,2025-12-31_A,fifo,yield,10015.80,2297,1,24029489045,62684561551,10556519475,841280
1767220768,2025-12-31_A,fifo,yield,10020.22,1319,2,24043537343,62991503363,10607926956,726899
1767220778,2025-12-31_A,fifo,yield,10016.81,2492,2,24031244995,62979571545,10606178929,829441
